isHeading,Artifact Type,module,parentBinding,Name,Primary Text,Description,Within Scope?,Justification
FALSE,Requirement,Sales,3.1.13,3.1.13.2,The system shall display tax information for the order.,Provide online Tax Calculations,TRUE,Web API
FALSE,Test,Sales,3.1.13.2,GetTaxInfoOnValidOrder,User receives tax info on the order.,Provide online Tax Calculations,TRUE,Test case
FALSE,Test,Sales,3.1.13.2,ErrorOnTaxInfoForInvalidOrder,User receives an error if an invalid order is provided.,Provide online Tax Calculations,TRUE,Test case
TRUE,Header,Sales,3.1,3.1.14,Allow multiple payment methods.,Allow multiple payment methods.,TRUE,Header
FALSE,Requirement,Sales,3.1.14,3.1.14.1,The system shall display available payment methods for payment.,Allow multiple payment methods.,TRUE,Web API
FALSE,Test,Sales,3.1.14.1,GetPaymentMethods,User receives a list of available payment methods.,Allow multiple payment methods.,TRUE,Test case
FALSE,Requirement,Sales,3.1.14,3.1.14.2,The system shall allow user to select the payment method for order.,Allow multiple payment methods.,FALSE,GUI
TRUE,Header,Sales,3.1,3.1.15,Allow online change or cancellation of order.,Allow online change or cancellation of order.,TRUE,Header
FALSE,Requirement,Sales,3.1.15,3.1.15.1,The system shall display the orders that are eligible to change.,Allow online change or cancellation of order.,TRUE,Web API
FALSE,Test,Sales,3.1.15.1,GetMutableOrders,User receives a list of orders that can be changed.,Allow online change or cancellation of order.,TRUE,Test case
FALSE,Requirement,Sales,3.1.15,3.1.15.2,The system shall allow user to select the order to be changed.,Allow online change or cancellation of order.,FALSE,GUI
FALSE,Requirement,Sales,3.1.15,3.1.15.3,The system shall allow user to cancel the order,Allow online change or cancellation of order.,TRUE,Web API
FALSE,Test,Sales,3.1.15.3,CancelActiveOrder,User received indication that order has been cancelled.,Allow online change or cancellation of order.,TRUE,Test case
FALSE,Test,Sales,3.1.15.3,CancelCancelledOrder,User received indication that order is already cancelled.,Allow online change or cancellation of order.,TRUE,Test case
FALSE,Requirement,Sales,3.1.15,3.1.15.4,"The system shall allow user to change shipping, payment method.",Allow online change or cancellation of order.,TRUE,Web API
FALSE,Test,Sales,3.1.15.4,ModifyOrderShipping,User may modify an order's shipping method.,Allow online change or cancellation of order.,TRUE,Test case
FALSE,Test,Sales,3.1.15.4,ModifyOrderPaymentMethod,User may modify an order's payment method.,Allow online change or cancellation of order.,TRUE,Test case
FALSE,Requirement,Sales,3.1.15,3.1.15.5,The system shall notify the user about any changes made to the order.,Allow online change or cancellation of order.,FALSE,Not a full implementation for production use.
TRUE,Header,Sales,3.1,3.1.16,Allow Online Product reviews and ratings,Allow Online Product reviews and ratings,TRUE,Header
FALSE,Requirement,Sales,3.1.16,3.1.16.1,"The system shall display the reviews and ratings of each product, when it is selected.",Allow Online Product reviews and ratings,TRUE,Web API
FALSE,Test,Sales,3.1.16.1,GetProductReviews,User receives a list of reviews for the specified product.,Allow online change or cancellation of order.,TRUE,Test case
FALSE,Requirement,Sales,3.1.16,3.1.16.2,The system shall enable the user to enter their reviews and ratings.,Allow Online Product reviews and ratings,FALSE,Not a full implementation for production use.
TRUE,Header,Sales,3.1,3.1.17,Offer financing options.,Offer financing options.,TRUE,Header
