isHeading,Artifact Type,module,parentBinding,Name,Primary Text,Description,Within Scope?,Justification
FALSE,Requirement,Infrastructure,3.5.2,3.5.2.3,The system’s back-end servers shall never display a customer’s password.  The customer’s password may be reset but never shown.,Security: Data Storage,FALSE,Not a full implementation for production use.
FALSE,Requirement,Infrastructure,3.5.2,3.5.2.4,The system’s back-end servers shall only be accessible to authenticated administrators.,Security: Data Storage,FALSE,Not a full implementation for production use.
FALSE,Requirement,Infrastructure,3.5.2,3.5.2.5,The system’s back-end databases shall be encrypted.,Security: Data Storage,FALSE,Not a full implementation for production use.
TRUE,Header,Infrastructure,3,3.6,Supportability,Supportability,TRUE,Header
TRUE,Header,Infrastructure,3.6,3.6.1,Configuration Management Tool,Configuration Management Tool,TRUE,Header
FALSE,Requirement,Infrastructure,3.6,3.6.1.1,The source code developed for this system shall be maintained in configuration management tool.,Supportability: Configuration Management Tool,FALSE,Not a web API requirement.
TRUE,Header,System,3,3.7,Design Constraints,Design Constraints,TRUE,Header
TRUE,Header,System,3.7,3.7.1,Standard Development Tools,Standard Development Tools,TRUE,Header
FALSE,Requirement,Graphical User Interface,3.7.1,3.7.1.2,The system shall be built using a standard web page development tool that conforms to either IBM’s CUA standards or Microsoft’s GUI standards.,Design Constraints: Standard Development Tools,FALSE,GUI
TRUE,Header,Graphical User Interface,3.7,3.7.2,Web Based Products,Web Based Products,FALSE,GUI
FALSE,Requirement,Graphical User Interface,3.7.2,3.7.2.1,There are no memory requirements.,Design Constraints: Web Based Products,FALSE,GUI
FALSE,Requirement,Graphical User Interface,3.7.2,3.7.2.2,The computers must be equipped with web browsers such as Internet explorer.,Design Constraints: Web Based Products,FALSE,GUI
FALSE,Requirement,Graphical User Interface,3.7.2,3.7.2.3,The product must be stored in such a way that allows the client easy access to it.,Design Constraints: Web Based Products,FALSE,GUI
FALSE,Requirement,Graphical User Interface,3.7.2,3.7.2.4,Response time for loading the product should take no longer than five minutes.,Design Constraints: Web Based Products,FALSE,GUI
FALSE,Requirement,Graphical User Interface,3.7.2,3.7.2.5,A general knowledge of basic computer skills is required to use the product.,Design Constraints: Web Based Products,FALSE,GUI
TRUE,Header,System,3,3.8,On-line User Documentation and Help System Requirements,On-line User Documentation and Help System Requirements,TRUE,Header
FALSE,Requirement,Web Interface,3.8,3.8.1,"As the product is E-store, On-line help system becomes a critical component of the system which shall provide",On-line User Documentation and Help System Requirements,FALSE,Duplicate of 3.1.7.1
FALSE,Requirement,Web Interface,3.8,3.8.2,It shall provide specific guidelines to a user for using the E-Store system and within the system.,On-line User Documentation and Help System Requirements,FALSE,Duplicate of 3.1.7.1
FALSE,Requirement,Graphical User Interface,3.8,3.8.3,"To implement online user help, link and search fields shall be provided.",On-line User Documentation and Help System Requirements,FALSE,GUI
TRUE,Header,System,3,3.10,Interfaces,Interfaces,TRUE,Header
TRUE,Header,Graphical User Interface,3.10,3.10.1,User Interfaces,User Interfaces,TRUE,Header
FALSE,Requirement,Web Interface,3.10.1,3.10.1.1,"The user interface for the software shall be compatible to any browser such as Internet Explorer, Mozilla or Netscape Navigator by which user can access to the system.",Interfaces - User Interfaces,TRUE,Web API
FALSE,Test,Web Interface,3.10.1.1,UseBroswerToUseAPI,Use a modern browser to execute an API method.,Interfaces - User Interfaces,TRUE,Test case
FALSE,Requirement,Graphical User Interface,3.10.1,3.10.1.2,"The user interface shall be implemented using any tool or software package like Java Applet, MS Front Page, EJB etc.",Interfaces - User Interfaces,FALSE,GUI
TRUE,Header,System,3.10,3.10.2,Hardware Interfaces,Hardware Interfaces,TRUE,Header
FALSE,Requirement,Web Interface,3.10.2,3.10.2.1,"Since the application must run over the internet, all the hardware shall require to connect internet will be hardware interface for the system. As for e.g. Modem, WAN – LAN, Ethernet Cross-Cable.",Interfaces - Hardware Interfaces,TRUE,Web API
FALSE,Test,Web Interface,3.10.2.1,DeployToCluster,Deploy the microservice to a Kubernetes cluster.,Interfaces - Hardware Interfaces,TRUE,Test case
TRUE,Header,System,3.10,3.10.3,Software Interfaces,Software Interfaces,TRUE,Header
FALSE,Requirement,Web Interface,3.10.3,3.10.3.1,The e-store system shall communicate with the Configurator to identify all the available components to configure the product.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.2,"The e-store shall communicate with the content manager to get the product specifications, offerings and promotions.",Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.3,"The e-store system shall communicate with bill-pay system to identify available payment methods , validate the payments and process payment.",Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.4,The e-store system shall communicate to credit management system for handling financing options.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.5,The e-store system shall communicate with CRM system to provide support.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.6,The e-store system shall communicate with Sales system for order management.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.7,The e-store system shall communicate with shipping system for tracking orders and updating of shipping methods.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.8,The e-store system shall communicate with external Tax system to calculate tax.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.9,The e-store system shall communicate with export regulation system to validate export regulations.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
FALSE,Requirement,Web Interface,3.10.3,3.10.3.10,The system shall be VeriSign-like software which shall allow the users to complete secured transaction. This usually shall be the third party software system which is widely used for internet transaction.,Interfaces - Software Interfaces,FALSE,Not a full implementation for production use.
TRUE,Header,System,3.10,3.10.4,Communications Interfaces,Communications Interfaces,TRUE,Header
FALSE,Requirement,Web Interface,3.10.4,3.10.4.1,The e-store system shall use the HTTP protocol for communication over the internet and for the intranet communication will be through TCP/IP protocol suite.,Interfaces - Communications Interfaces,TRUE,Web API
FALSE,Requirement,Web Interface,3.10.4,3.10.4.2,The Port number used will be 80.,Interfaces - Communications Interfaces,TRUE,Web API
FALSE,Requirement,Web Interface,3.10.4,3.10.4.3,There shall be logical address of the system in IPv4 format.,Interfaces - Communications Interfaces,TRUE,Web API
TRUE,Header,System,3,3.12,"Legal, Copyright, and Other Notices","Legal, Copyright, and Other Notices",TRUE,Header
FALSE,Requirement,Web Interface,3.12,3.12.1,"E-store should display the disclaimers, copyright, word mark, trademark and product warranties of the Marvel electronics and home entertainment.","Legal, Copyright, and Other Notices",TRUE,Web API
